word,count
spark,29
the,23
to,16
for,13
run,13
and,11
apache,10
a,9
org,8
building,8
example,8
you,8
hadoop,7
can,6
is,6
http,6
documentation,6
bin,5
tests,5
on,5
of,5
shell,5
in,5
python,4
examples,4
scala,4
programs,4
if,4
also,4
html,4
build,4
latest,4
please,3
including,3
using,3
version,3
configuration,3
package,3
or,3
locally,3
use,3
with,3
this,3
project,3
an,3
cluster,3
built,3
docs,3
class,3
how,2
guidance,2
should,2
local,2
do,2
return,2
online,2
level,2
hive,2
set,2
be,2
supports,2
refer,2
processing,2
maven,2
display,2
running,2
yarn,2
guide,2
cwiki,2
parallelize,2
one,2
tools,2
params,2
master,2
https,2
that,2
it,2
particular,2
general,2
count,2
versions,2
n,2
following,2
interactive,2
detailed,2
at,2
sparkpi,2
specifying,2
which,2
confluence,2
sc,2
sql,2
data,2
command,2
help,1
supported,1
against,1
computation,1
find,1
developer,1
web,1
system,1
graph,1
environment,1
only,1
other,1
systems,1
rich,1
usage,1
them,1
pyspark,1
big,1
print,1
not,1
instructions,1
runs,1
name,1
alternatively,1
try,1
through,1
page,1
wiki,1
abbreviated,1
testing,1
module,1
streaming,1
see,1
individual,1
instance,1
dataframes,1
dskiptests,1
its,1
provides,1
readme,1
configure,1
available,1
core,1
given,1
downloaded,1
host,1
threads,1
about,1
thread,1
changed,1
programming,1
range,1
mvn,1
first,1
useful,1
overview,1
prefer,1
will,1
because,1
submit,1
learning,1
storage,1
your,1
are,1
from,1
contains,1
mllib,1
fast,1
start,1
way,1
basic,1
pi,1
more,1
engine,1
library,1
easiest,1
protocols,1
must,1
high,1
setup,1
dev,1
note,1
r,1
many,1
distribution,1
pre,1
thriftserver,1
have,1
stream,1
computing,1
site,1
sample,1
file,1
need,1
distributions,1
different,1
no,1
apis,1
when,1
same,1
machine,1
mesos,1
several,1
higher,1
hdfs,1
optimized,1
uses,1
variable,1
java,1
url,1
analysis,1
graphs,1
comes,1
clean,1
directory,1
graphx,1
once,1
requires,1
talk,1
